UBERON:0002369	ADRENAL_GLAND
UBERON:0007795	ASCITIC_FLUID
CL:0000236	B_CELL
UBERON:0000955	BRAIN
UBERON_0000956	CEREBRAL_CORTEX
UBERON_0001896	MEDULLA_OBLONGATA
UBERON:0001348	BROWN_ADIPOSE_TISSUE	adipose
UBERON:0001162	CARDIA_OF_STOMACH
PO:0009030	CARPEL
UBERON:0002037	CEREBELLUM
UBERON:0000002	UTERINE_CERVIX
UBERON_0001155	COLON
PO:0020030	COTYLEDON
UBERON:0001103	DIAPHRAGM
UBERON:0002114	DUODENUM
UBERON:0002297	EARWAX
UBERON:0000922	EMBRYO
UBERON:0005291	EMBRYONIC_TISSUE
CL:0000232	ERYTHROCYTE
UBERON:0001043	ESOPHAGUS
UBERON:0000970	EYE
PO:0009046	FLOWER
PO:0000056	FLOWERBUD
UBERON:0001870	FRONTAL_CORTEX
UBERON:0002110	GALLBLADDER
CL:0000129	MICROGLIAL_CELL
UBERON:0000160	GUT
UBERON:0003929	GUT_EPITHELIUM
UBERON:0002073	HAIR_FOLLICLE
UBERON:0000033	HEAD
UBERON:0000948	HEART
UBERON_0002116	ILEUM
UBERON:0000006	ISLET_OF_LANGERHANS
UBERON:0002115	JEJUNUM
PO:0006339	JUVENILE_LEAF
UBERON:0002113	KIDNEY
UBERON:0001225	CORTEX_OF_KIDNEY
UBERON:0000362	RENAL_MEDULLA
PO:0025034	LEAF
UBERON:0002107	LIVER
UBERON:0002048	LUNG
UBERON:0000029	LYMPH_NODE
UBERON:0001891	MIDBRAIN
UBERON:0001913	MILK
CL:0000576	MONOCYTE
UBERON:0002385	MUSCLE
UBERON:0001728	NASOPHARYNX
UBERON:0002264	OLFACTORY_BULB
UBERON:0000167	ORAL_CAVITY
UBERON:0000992	FEMALE_GONAD
UBERON:0001264	PANCREAS
UBERON:0001987	PLACENTA
UBERON:0001969	PLASMA
CL:0000233	PLATELET
PO:0025281	POLLEN
UBERON:0002367	PROSTATE_GLAND	prostate
UBERON:0001052	RECTUM
UBERON:0000966	RETINA
PO:0009005	ROOT
PO:0025022	ROSETTE
UBERON:0001836	SALIVA
UBERON:0001044	SALIVA_SECRETING_GLAND
PO:0009010	SEED
UBERON:0000998	SEMINAL_VESICLE
PO:0009006	SHOOT
PO:0009001	SILIQUE
UBERON:0002097	SKIN
CL:0000019	SPERM
UBERON:0002240	SPINAL_CORD
UBERON:0002106	SPLEEN
UBERON:0000945	STOMACH
UBERON:0000473	TESTIS
UBERON:0002370	THYMUS
UBERON:0002046	THYROID_GLAND
UBERON:0002372	TONSIL
UBERON:0001255	URINARY_BLADDER
UBERON:0001088	URINE
UBERON:0000995	UTERUS
UBERON:0000997	VULVA
UBERON:0001347	WHITE_ADIPOSE_TISSUE
UBERON:0007023	WHOLE_ORGANISM
UBERON:0003889	FALLOPIAN_TUBE
CLO:0000031	CELL_LINE
UBERON:0002756	ANTERIOR_CINGULATE_GYRUS
PO:0009066	ANTHER
UBERON:0001013	ADIPOSE_TISSUE	fat
UBERON:0002133	ATRIOVENTRICULAR_VALVE
PO:0000055	BUD	sprout
UBERON:0002081	CARDIAC_ATRIUM	atrium
UBERON:0002082	CARDIAC_VENTRICLE	ventricle
UBERON:0013198	COCOON
UBERON:0005985	CORONARY_VESSEL	coronary
UBERON:0000956	CEREBRAL_CORTEX	cortex
PO:0009089	ENDOSPERM
UBERON:0000316	CERVICAL_MUCUS	endocervical_mucus
CL:0000025	EGG_CELL	egg,oocyte
PO:0009085	EXOCARP
UBERON:0003889	FALLOPIAN_TUBE
UBERON:0006932	VESTIBULAR_EPITHELIUM	inner_ear_hair_bundle
UBERON:0001011	HEMOLYMPH
UBERON:0002421	HIPPOCAMPAL_FORMATION	hippocampus
BTO:0000938	NEURON
UBERON:0003509	ARTERIAL_BLOOD_VESSEL	large_artery
UBERON:0002548	LARVAE
UBERON:0001045	MIDGUT
PO:0003023	ROOT_NODULE	nodule
UBERON:0000992	OVARY
UBERON:0000993	OVIDUCT
GO:0020039	PELLICLE
PO:0009084	PERICARP
UBERON:0006530	SEMINAL_FLUID	semen_plasma
UBERON:0005623	SEMI-LUNAR_VALVE
UBERON:0002108	SMALL_INTESTINE
UBERON:0001135	SMOOTH_MUSCLE
PO:0009047	STEM
UBERON:0001090	SYNOVIAL_FLUID
CL:0000084	T_CELL
BTO:0003623	UTERINE_FLUID
UBERON:0003241	UTRICLE_EPITHELIA
UBERON:0001853	UTRICLE_OF_MEMBRANOUS_LABYRINTH
UBERON:0001154	VERMIFORM_APPENDIX	appendix
CL:0000609	VESTIBULAR_HAIR_CELL
UBERON:0002034	SUPRACHIASMATIC_NUCLEUS	scn
UBERON:0001295	ENDOMETRIUM
UBERON:0035441	APEX_OF_PROSTATE
UBERON_0000310	BREAST
UBERON:0002411	CLITORIS
UBERON:0002509	MESENTERIC_LYMPH_NODE
UBERON:0002394	BILE_DUCT
UBERON:0000989	PENIS
UBERON:0002110	GALL_BLADDER
UBERON:0001359	CEREBROSPINAL_FLUID
UBERON:0001977	SERUM
PO:0000293	GUARD_CELL
PO:0005052	CALLUS
